id,userid,title,description: Add in contextual info here. Do not repeat the title.,Source Event,Activity,Start time [yyyy],End time [yyyy],Location,Agent,Genre,Style & Movement,Object,Label,Value,Annotation URI,ca_sec_id,,EOL
event65,user2,"Pellegrino Antonio Orlandipublished his book, L'abecedario pittorico.","Pellegrino Antonio Orlandi's book, 'L' abecedario pittorico dall'autore ristampato corretto et accresciuto do molti professori e di altre notizie spettanti alla pittura' was first published in 1704.",sourceevent161,Publish,1704,,Bologna,"Orlandi, Pellegrino Antonio",,,L' abecedario pittorico,,,,8768473e-c6e4-11e2-8753-002590937d1c,,EOL
event64,user2,Denis Mahon donated his personal library and archive to the National Gallery of Ireland.,,sourceevent331,Donate,2010,,Dublin,"National Gallery of Ireland|Mahon, Denis",,,,,,,86f03e74-c6e4-11e2-8753-002590937d1c,,EOL
event63,user2,Denis Mahon curated an exhibition of Guercino's work in Bologna.,,sourceevent330,Curator,1967,,Bologna,"Mahon, Denis|Guercino",,Baroque,,,,,86898c2e-c6e4-11e2-8753-002590937d1c,,EOL
event62,user2,"Richard Dalton, the future librarian to King George III, purchased several drawings by Guercino.",,sourceevent329,Acquire,1756,1759,London,"Dalton, Richard|George III, King|Guercino",,Baroque,,,,,864a9f1e-c6e4-11e2-8753-002590937d1c,,EOL
event61,user2,Guercino returned to Cento from Rome.,,sourceevent328,Travel,1623,,Rome|Cento,Guercino,,,,,,,85d72c78-c6e4-11e2-8753-002590937d1c,,EOL
event60,user2,Pope Gregory XV died.,,sourceevent327,Death,1623,,Rome,"Gregory XV, Pope",,,,,,,85989922-c6e4-11e2-8753-002590937d1c,,EOL
event59,user2,Guercino was summoned to Rome by the Pope. ,to decorate the Loggia delle Benedizioni in St Peter's,sourceevent326,Travel,1621,,Saint Peter's Basilica|Rome,"Guercino|Gregory XV, Pope",,,,,,,854d0f5c-c6e4-11e2-8753-002590937d1c,,EOL
event58,user2,"Guercino's patron, Cardinal Alessandro Ludovisi, was elected pope as Gregory XV.",,sourceevent325,Elect,1621,,Rome,"Ludovisi, Cardinal Alessandro|Gregory XV, Pope",,,,,,,84fd6286-c6e4-11e2-8753-002590937d1c,,EOL
event57,user2,Guercino was apprenticed to Benedetto Gennari the Elder.,,sourceevent324,Apprentice,1607,1610,Cento,"Guercino|Gennari the elder, Benedetto",,,,,,,84588450-c6e4-11e2-8753-002590937d1c,,EOL
event56,user2,Giovanni Francesco Barbieri was nicknamed Guercino as a child,Guercino (‘squinter') was given his nickname at an early age because of the squint he is said to have developed as a result of a childhood accident.,sourceevent323,Acquire nickname,1591,1601,Cento,Guercino,,Baroque,,,,,83e281ce-c6e4-11e2-8753-002590937d1c,,EOL
event54,user2,Guercino moved to Bologna.,At first he lived in the palace of Conte Filippo Aldrovandi; then in 1644 he moved his studio to the house he bought that later came to be known as the Casa Gennari (from the name of his heirs).,sourceevent321,Travel,1642,,Bologna,Guercino,,Baroque,,,,,8385d62c-c6e4-11e2-8753-002590937d1c,,EOL
event538,user6,William Scott's first one-man show.,"At the Hanover Gallery, London, which included a number of loosely abstract paintings.",sourceevent538,Exhibit,1953,,London,"Scott, William",,,,,,,83421ad6-c6e4-11e2-8753-002590937d1c,,EOL
event537,user6,William Scott's artworks toured the US.,With the exhibition ‘Younger European Painters' to six US centres.,sourceevent537,Exhibit,1953,,USA,"Scott, William",,,,,,,82fe0936-c6e4-11e2-8753-002590937d1c,,EOL
event536,user6,William Scott's artwork was included in a show at the Guggenheim.,"The ‘Younger European Painters' show at the Guggenheim Museum, New York.",sourceevent536,Exhibit,1953,,New York,"Scott, William",,,,,,,82c553ca-c6e4-11e2-8753-002590937d1c,,EOL
event535,user6,William Scott was impressed by Abstract Expresionist paintings.,,sourceevent535,Impress,1953,,New York,"Scott, William",,,,,,,8291b2c2-c6e4-11e2-8753-002590937d1c,,EOL
event534,user6,William Scott became friends with Mark Rothko.,,sourceevent534,Friendship,1953,,New York,"Scott, William|Rothko, Mark",,Abstract Expressionism,,,,,823a7b60-c6e4-11e2-8753-002590937d1c,,EOL
event533,user6,William Scott met the leading New York School painters.,"Including Mark Rothko, Jackson Pollock, Willem de Kooning and Franz Kline.",sourceevent533,Meet,1953,,New York,"Scott, William|Rothko, Mark|Jackson, Pollock|de Kooning, Willem|Kline, Franz",,Abstract Expressionism,,,,,820110dc-c6e4-11e2-8753-002590937d1c,,EOL
event532,user6,William Scott visited New York.,,sourceevent532,Travel,1953,1953,New York|UK,"Scott, William",,,,,,,8152e714-c6e4-11e2-8753-002590937d1c,,EOL
event531,user6,William Scott travelled to Canada as a teacher.,To work as a guest instructor at the Banff School of Fine Arts at the University of Alberta.,sourceevent531,Travel,1953,1953,"Alberta, Canada","Scott, William",,,,,,,81009d7e-c6e4-11e2-8753-002590937d1c,,EOL
event530,user2,Mainie Jellett travelled to Paris.,,sourceevent530,Travel,1920,,Paris,"Jellett, Mainie",,,,,,,80b44f32-c6e4-11e2-8753-002590937d1c,,EOL
event53,user2,Guercino visited Rome.,"While in Rome, Guercino received other important commissions, both private and ecclesiastical, mainly from the Ludovisi and their entourage. One of these was the decoration of a ceiling in the Ludovisi villa on the Pincio, known as the Casino Ludovisi, with a fresco of Aurora (1621; in situ). Guercino's Roman period (1621–3), short in span though it was, exerted a lasting impact on his subsequent development. His early naturalistic chiaroscuro style, so successfully practised in Emilia, was not highly regarded in the sophisticated Roman court milieu in which he then found himself. His subsequent attempts to modify his style, acknowledging the more fashionable classical language of form made popular by the work of such painters as Guido Reni, heralded a fundamental change in his work. Henceforth there was a lightening of his palette and a tendency to make the spatial setting of his figures more lucid.",sourceevent320,Travel,1621,1623,Rome,Guercino,,,,,,,807e48c4-c6e4-11e2-8753-002590937d1c,,EOL
event529,user2,Mainie Jellett studied under Andre Lhote.,,sourceevent529,Study,1920,,Paris,"Jellett, Mainie|Lhote, Andre",,Cubism,,,,,8043fc8c-c6e4-11e2-8753-002590937d1c,,EOL
event528,user2,Mainie Jellett produced paintings of female nudes in an Impressionist style while studying at the Westminster School of Art in London.,,sourceevent528,Paint,1917,1920,London,"Jellett, Mainie",Figure Painting,Impressionism,,,,,8000daa6-c6e4-11e2-8753-002590937d1c,,EOL
event527,user2,Mainie Jellett studied under Walter Sickert in the Westminster School of Art in London.,,sourceevent527,Study,1917,1920,London,"Jellett, Mainie|Sickert, Walter",,,,,,,7fae04d4-c6e4-11e2-8753-002590937d1c,,EOL
event526,user2,William Orpen left Dublin to become official war artist.,,sourceevent526,Travel,1917,,Dublin,"Orpen, William",,,,,,,7f52148a-c6e4-11e2-8753-002590937d1c,,EOL
event525,user2,Mainie Jellett enrolled in the Dublin Metropolitan School of Art.,,sourceevent525,Study,1914,,Dublin,"Jellett, Mainie",,,,,,,7f1946c8-c6e4-11e2-8753-002590937d1c,,EOL
event524,user2,Mainie Jellett received early painting classes from Elizabeth Yeats.,,sourceevent524,Study,1909,1914,Dublin,"Jellett, Mainie|Yeats, Elizabeth",,,,,,,7ee4c2b8-c6e4-11e2-8753-002590937d1c,,EOL
event523,user2,"Albert Gleizes wrote the introduction to Mainie Jellett's book, The Artist's Vision.",,sourceevent523,Publish,1948,,,"Jellett, Mainie|Gleizes, Albert",,Cubism,,,,,7e95cf78-c6e4-11e2-8753-002590937d1c,,EOL
event522,user2,"The first major text on Cubism was published by Albert Gleizes and fellow-artist, Jean Metzinger.",It was called 'Du Cubisme'.,sourceevent522,Publish,1912,,Paris,"Gleizes, Albert|Metzinger, Jean",,Cubism,,,,,7e5e2e4c-c6e4-11e2-8753-002590937d1c,,EOL
event521,user2,The first Cubist group show as held in Paris.,,sourceevent521,Exhibit,1911,,Paris,"Gleizes, Albert|Delaunay, Robert |Léger, Fernand ",,Cubism,,,,,7da6b67c-c6e4-11e2-8753-002590937d1c,,EOL
event520,user2,Albert Gleizes exhibited at the first Cubist group show.,The first Cubist group show took place in a separate room – Room 41 - at the Salon des Independents in Paris in 1911.,sourceevent520,Exhibit,1911,,Paris,"Gleizes, Albert",,Cubism,,,,,7d3f3c22-c6e4-11e2-8753-002590937d1c,,EOL
event52,user2,Nikolaus Pevsner fled Nazi Germany.,Pevsner moved to England and found work at the newly founded Courtauld Institute,sourceevent319,Flee,1933,,Germany,"Pevsner, Nikolaus|Hitler, Adolf",,,,,,,7cfb74d8-c6e4-11e2-8753-002590937d1c,,EOL
event517,user2,Evie Hone studied with Albert Gleizes.,"Irish artist, Evie Hone, studied there with her friend, and fellow-artist, Mainie Jellett.",sourceevent517,Study,1921,1923,Paris,"Hone, Evie|Gleizes, Albert",,Cubism,,,,,7c84e2d2-c6e4-11e2-8753-002590937d1c,,EOL
event516,user2,Mainie Jellett studied with Albert Gleizes.,"The Cubist artist, Albert Gleizes, was based in Paris at the time.",sourceevent516,Study,1921,1923,Paris,"Jellett, Mainie|Gleizes, Albert",,Cubism,,,,,7c44972c-c6e4-11e2-8753-002590937d1c,,EOL
event515,user2,Mainie Jellett painted religious artworks.,,sourceevent515,Paint,1930,1943,Dublin,"Jellett, Mainie",Christian Art,Cubism,,,,,7c09967c-c6e4-11e2-8753-002590937d1c,,EOL
event514,user2,Tempera fell out of popularity with Renaissance artists,Tempera is a mixture of pigment and egg yolk which was the primary medium used in panel painting in medieval and early renaissance Europe until the 1500s,sourceevent514,Become unpopular,1500,1530,Western Europe,,,Renaissance,,,,,7bc96ea8-c6e4-11e2-8753-002590937d1c,,EOL
event513,user2,Mainie Jellett wrote essays and lectures on Cubism,These were compiled into a book called 'Mainie Jellett The Artist's Vision' in 1958.,sourceevent513,Write,1924,1944,Ireland,"Jellett, Mainie",,Cubism,,,,,7b7823ea-c6e4-11e2-8753-002590937d1c,,EOL
event512,user2,Mainie Jellett was one of the founding members of the Irish Exhibition of Living Art.,,sourceevent512,Found,1943,,Dublin,"Jellett, Mainie",,,,,,,7b38013e-c6e4-11e2-8753-002590937d1c,,EOL
event511,user2,"George Russell described Mainie Jellett's work as ""defective"" in The Irish Statesman.",,sourceevent511,Art Review,1923,,Dublin,"Jellett, Mainie|Russell, George",Abstract Art,Cubism,Decoration,,,,7afc810e-c6e4-11e2-8753-002590937d1c,,EOL
event510,user2,Artists began to search for alternatives to traditional artistic conventions.,,sourceevent510,Search,1850,,Western Europe,,,,,,,,7abcb43e-c6e4-11e2-8753-002590937d1c,,EOL
event51,user2,Denis Mahon's art collection was valued to be an estimated £25 million.,,sourceevent318,Value,1996,,London,"Mahon, Denis",,,,,GBP-25000000,,7a528f50-c6e4-11e2-8753-002590937d1c,,EOL
event509,user2,The invention of photography as a usable process.,,sourceevent509,Invent,1839,,Paris|England,"Daguerre, Louis|Talbot, William Henry Fox",Photography,,,,,,7a0307fa-c6e4-11e2-8753-002590937d1c,,EOL
event508,user2,Pablo Picasso painted Les Demoiselles D'Avignon.,,sourceevent508,Paint,1905,1907,Paris,"Picasso, Pablo",Figure Painting,Proto-Cubism,Les Demoiselles D'Avignon,,,,7953f03a-c6e4-11e2-8753-002590937d1c,,EOL
event507,user6,George Campbell co-founded the Irish Exhibition of Living Art.,George Campbell was one of the founders of the Irish Exhibition of Living Art in 1943.,sourceevent507,Found,1943,,Dublin,"Campbell, George",,,,,,,980c12b4-ea43-11e2-8753-002590937d1c,,EOL
event506B,user6,George Campbell connected with the Spanish community in Dublin.,In 1946 George Campbell came to know Spaniards who had settled in Dublin.,sourceevent506B,Acquaint,1946,,Dublin,"Campbell, George",,,,,,,98b67ce0-ea43-11e2-8753-002590937d1c,,EOL
event506,user2,Jack B. Yeats painted The Liffey Swim.,,sourceevent506,Paint,1923,,Dublin,"Yeats, Jack B.",Genre Art,Expressionism,The Liffey Swim,,,,78c0463c-c6e4-11e2-8753-002590937d1c,,EOL
event505B,user6,George Campbell lived in Spain.,"From the early '50s, George Campbell lived in Spain for much of the next twenty-five years.",sourceevent505B,Reside,1952,1976,Spain,"Campbell, George",,,,,,,9a4c6380-ea43-11e2-8753-002590937d1c,,EOL
event505,user2,Jack B. Yeats won an Olympic medal.,Yeats was awarded a silver medal for 'The Liffey Swim' at the Paris Olympic exhibition in 1924.,sourceevent505,Award,1924,,Paris,"Yeats, Jack B.",Genre Art,Expressionism,The Liffey Swim,,,,7885da10-c6e4-11e2-8753-002590937d1c,,EOL
event504B,user6,Norah McGuinness born in Londonderry.,Norah McGuinness born in Co. Londonderry in 1901.,sourceevent504B,Born,1901,,Londonderry,"McGuinness, Norah",,,,,,,9bd04906-ea43-11e2-8753-002590937d1c,,EOL
event504,user2,"William Orpen painted Portrait of Count John McCormack (1884-1945), Singer.",,sourceevent504,Paint,1923,,Ireland,"Orpen, William|McCormack, Count John",Portraiture,,"Portrait of Count John McCormack (1884-1945), Singer",,,,77ee37f0-c6e4-11e2-8753-002590937d1c,,EOL
event503B,user6,Six Artists from L'Academie Lhote show included Norah McGuinness.,"In Dublin in 1940, the exhibition Six Artists from L'Academie Lhote included work by Norah McGuinness.",sourceevent503B,Exhibit,1940,,Dublin,"McGuinness, Norah",,,,,,,9c8c0628-ea43-11e2-8753-002590937d1c,,EOL
event503,user2,William Orpen occasionally taught at the Dublin Metropolitan School of Art,"He generally taught in yearly, or twice yearly, sessions between 1902 and 1914.",sourceevent503,Teach,1902,1914,Dublin,"Orpen, William|Dublin Metropolitan School of Art",,,,,,,7740e8f2-c6e4-11e2-8753-002590937d1c,,EOL
event502B,user6,Norah McGuinness became Chairman of the Irish Exhibition of Living Art.,In 1944 Norah McGuinness became the Chairman of the Irish Exhibition of Living Art.,sourceevent502B,Chair,1944,,Dublin,"McGuinness, Norah",,,,,,,9db291fc-ea43-11e2-8753-002590937d1c,,EOL
event502,user2,A scathing review of Mainie Jellett's painting was published in The Irish Times newspaper.,,sourceevent502,Art Review,1923,,Dublin,"Jellett, Mainie",Abstract Art,Cubism,Decoration,,,,76eed92c-c6e4-11e2-8753-002590937d1c,,EOL
event501B,user6,Norah McGuinness in the Venice Biennale.,Norah McGuinness represented Ireland in the 1950 Venice Biennale.,sourceevent501B,Exhibit,1950,,Venice,"McGuinness, Norah",,,,,,,9e574922-ea43-11e2-8753-002590937d1c,,EOL
event501,user2,"Mainie Jellett first exhibited Decoration in the St Stephen's Green Gallery, Dublin.",,sourceevent501,Exhibit,1923,,Dublin,"Jellett, Mainie",Abstract Art,Cubism,Decoration,,,,769cdbe0-c6e4-11e2-8753-002590937d1c,,EOL
event500B,user6,Mainie Jellett became the first Chairman of the Irish Exhibition of Living Art.,Mainie Jellett became the first Chairman of the Irish Exhibition of Living Art in 1943.,sourceevent500B,Chair,1943,,Dublin,"Jellett, Mainie",,,,,,,9ef21de4-ea43-11e2-8753-002590937d1c,,EOL
event500,user2,Mainie Jellett painted Decoration.,,sourceevent500,Paint,1923,,Paris,"Jellett, Mainie",Abstract Art,Cubism,Decoration,,,,76582856-c6e4-11e2-8753-002590937d1c,,EOL
event50,user2,Denis Mahon publicly announced his decision to leave 79 artworks to the nation on his death.,,sourceevent317,Bequeath,1996,,London,"Mahon, Denis",,,,,,,75f55e10-c6e4-11e2-8753-002590937d1c,,EOL
event49,user2,Denis Mahon identified a painting by Caravaggio in Ireland.,"The painting ""The Taking of Christ"" (1602) was discovered in the home of the Jesuit Priests in DUblin. While it was being cleaned, Mahon discovered the archival reference to the painting, verifying it was in fact by Caravaggio.",sourceevent316,Identify,1992,,Dublin,"Mahon, Denis|Jesuits|Caravaggio",Christian Art,Baroque,Taking of Christ,,,,75a08d68-c6e4-11e2-8753-002590937d1c,,EOL
event48,user2,Denis Mahon led the opposition against the Conservative Government to force museums to charge entry fees.,,sourceevent315,Oppose,1973,,London,"Mahon, Denis|Conservative Government",,,,,,,752643e6-c6e4-11e2-8753-002590937d1c,,EOL
event47,user2,Denis Mahon identified two artworks by Caravaggio in American institutions.,"In collaboration with art historian Luigi Salerno, Mahon identified two paintings in the 1970s to Caravaggio in American museums, the Detroit Institute of Arts ""Martha and Mary Magdalene"" and the Cleveland Museum of Art ""The Crucifixion of Saint Andrew.""",sourceevent314,Identify,1970,1979,Detroit|Cleveland,"Mahon, Denis|Salerno, Luigi|Caravaggio|Detroit Institute of Arts|Cleveland Museum of Art",Christian Art,Baroque,,,,,74c6ce8e-c6e4-11e2-8753-002590937d1c,,EOL
event466,user2,Claude Monet painted Water Lilies.,,sourceevent463,Paint,1917,,,"Monet, ",,,Waterlillies,,,,73eb8db0-c6e4-11e2-8753-002590937d1c,,EOL
event465,user2,Paul Cézanne painted Boy in a Red Vest.,,sourceevent462,Paint,1910,,,"Cézanne, Paul",,,Boy in a Red Vest,,,,7383fc5e-c6e4-11e2-8753-002590937d1c,,EOL
event464,user2,Henri Matisse painted The Conversation.,,sourceevent461,Paint,1910,,,"Matisse, Henri",,,The Conversation,,,,73188438-c6e4-11e2-8753-002590937d1c,,EOL
event463,user2,Diego Velázquez painted The Coronation of the Virgin.,,sourceevent460,Paint,1642,,,"Velázquez, Diego",,,The Coronation of the Virgin,,,,72ace7f0-c6e4-11e2-8753-002590937d1c,,EOL
event462,user6,Patrick Swift's portrait of poet Patrick Kavanagh appeared in the Rosc exhibition.,,sourceevent459,Exhibit,1971,,Dublin,"Swift, Patrick|Kavanagh, Patrick",,,,,,,72642722-c6e4-11e2-8753-002590937d1c,,EOL
event461,user6,Edward McGuire travelled in France and Italy. ,,sourceevent458,Travel,1951,1953,France|Italy,"McGuire, Edward",,,,,,,720e7f34-c6e4-11e2-8753-002590937d1c,,EOL
