id,userid,setid,text,object_story,EOL
snapshot11,user2,set11,"Even though 'Decoration' is an abstract painting, it does strongly recall a religious icon painting in terms of the shape of the panel – like a church window- the use of gold paint, and her choice of medium. <br >Mainie chose to paint 'Decoration' using tempera on wood panel. Tempera is a mixture of pigment and egg yolk which was the primary medium used in panel painting in medieval and early renaissance Europe until the 1500s. It was a very suitable medium for those stylised and flat medieval panel paintings, as when it dries it produces a smooth, matte, opaque finish. <br >However, tempera paintings rarely have the deep colour saturation of oil paintings and so the colours in 'Decoration' do not pop or attract attention; they are quite muted, faded, and matte looking.<br >In the 30s and 40s, Mainie’s paintings would become more overtly religious, with stylised and semi-abstracted representations of the crucifixion, pieta, and Madonna and child. At this early stage in her career, however, it was just hinted at through medium and shape.",objectstory306,EOL
snapshot12,user2,set12,"This photograph from the 1940s depicts Mainie Jellett and Albert Gleizes. Mainie Jellett studied in Paris under Gleizes, with her friend Evie Hone, in the 1920s.<br >Gleizes had exhibited at the first Cubist group show which took place in a separate room – Room 41 - at the Salon des Independents in Paris in 1911. Although Pablo Picasso and Georges Braque would go on to become the driving forces behind Cubism, neither of these artists exhibited at this first exhibition. Neither were they involved in publishing the first major text on Cubism either – instead Albert Gleizes and fellow-artist, Jean Metzinger, published this in 1912. <br >Gleizes was an intellectual and theoretical painter who approached the canvas with a strict methodology – “the laws of painting” as he called it. In an essay dedicated to Mainie Jellett, he describes his attempts, to explain his approach to non-representational painting, to his two new Irish pupils:<br >“Mainie and Evie used to come to the studio early in the afternoon. I used to place large sheets of paper on a stretcher and, charcoal in hand, I struggled to clarify and to make them understand the practical elaboration of my first modest paintings without subject.”<br >“Before me I had two young students who were wanting me to show them the substantial, rational, explainable method of building up a picture without having recourse to representation. I had, therefore, to analyse step by step the course of my own act of painting, to follow myself and at the same time to record my movements theoretically.”<br >One of Gleizes primary concerns was the rejection of traditional linear perspective, and the illusionism that had pervaded painting since the Renaissance. In an essay, he spoke about his rejection of linear perspective:<br >“The unity of perspective, which classical art considered a step forward and an advance on what went before, was denounced and replaced by plurality of points of perspective. This plurality of points of perspective in many paintings of the 14th century had been severely criticised as a sign of ignorance, as childishness. Unity of perspective had become a dogma.”",objectstory308,EOL
snapshot13,user2,set13,"This photograph from the 1940s depicts Mainie Jellett and Albert Gleizes. Mainie Jellett studied in Paris under Gleizes, with her friend Evie Hone, in the 1920s.<br >Gleizes had exhibited at the first Cubist group show which took place in a separate room – Room 41 - at the Salon des Independents in Paris in 1911. Although Pablo Picasso and Georges Braque would go on to become the driving forces behind Cubism, neither of these artists exhibited at this first exhibition. Neither were they involved in publishing the first major text on Cubism either – instead Albert Gleizes and fellow-artist, Jean Metzinger, published this in 1912. <br >Gleizes was an intellectual and theoretical painter who approached the canvas with a strict methodology – “the laws of painting” as he called it. In an essay dedicated to Mainie Jellett, he describes his attempts, to explain his approach to non-representational painting, to his two new Irish pupils:<br >“Mainie and Evie used to come to the studio early in the afternoon. I used to place large sheets of paper on a stretcher and, charcoal in hand, I struggled to clarify and to make them understand the practical elaboration of my first modest paintings without subject.”<br >“Before me I had two young students who were wanting me to show them the substantial, rational, explainable method of building up a picture without having recourse to representation. I had, therefore, to analyse step by step the course of my own act of painting, to follow myself and at the same time to record my movements theoretically.”<br >One of Gleizes primary concerns was the rejection of traditional linear perspective, and the illusionism that had pervaded painting since the Renaissance. In an essay, he spoke about his rejection of linear perspective:<br >“The unity of perspective, which classical art considered a step forward and an advance on what went before, was denounced and replaced by plurality of points of perspective. This plurality of points of perspective in many paintings of the 14th century had been severely criticised as a sign of ignorance, as childishness. Unity of perspective had become a dogma.”",objectstory308,EOL
snapshot14,user2,set14,"By 1920 Gleizes had developed a style based on his first abstract pictures of 1915, characterized by dynamic intersections of vertical, diagonal, horizontal and circular movements, austere in touch but loaded with energetic pattern (see Painting Object, 1921). He sought to clarify his methods further in La Peinture et ses lois (Paris, 1923), in which he deduced the rules of painting from the picture plane, its proportions, the movement of the human eye and the laws of the universe. This theory, later referred to as translation-rotation, ranks with the writings of Mondrian and Malevich as one of the most thorough expositions of the principles of abstract art, which in his case entailed the rejection not only of representation but also of geometric forms.",objectstory313,EOL
snapshot15,user2,set15,"The term 'Cubism' is derived from a reference made to ‘geometric schemas and cubes’ by the critic Louis Vauxcelles in describing paintings, including this one, exhibited in Paris by Georges Braque in November 1908",objectstory312,EOL
snapshot16,user2,set16,"By 1920 Gleizes had developed a style based on his first abstract pictures of 1915, characterized by dynamic intersections of vertical, diagonal, horizontal and circular movements, austere in touch but loaded with energetic pattern (see Painting Object, 1921). He sought to clarify his methods further in La Peinture et ses lois (Paris, 1923), in which he deduced the rules of painting from the picture plane, its proportions, the movement of the human eye and the laws of the universe. This theory, later referred to as translation-rotation, ranks with the writings of Mondrian and Malevich as one of the most thorough expositions of the principles of abstract art, which in his case entailed the rejection not only of representation but also of geometric forms.",objectstory313,EOL
snapshot17,user2,set17,"Mainie Jellett did not always paint in a Cubist style. In fact, like many other modern artists such as Cezanne and Picasso, her rejection of the conventions of painting was preceded by traditional academic training. <br >Jellett was born in Fitzwilliam Square, Dublin, and received early watercolour training in her home from Elizabeth (Lolly) Yeats- Jack B. and W.B. Yeats’ sister. She then enrolled in the Dublin Metropolitan School of Art where she briefly trained under the traditional artist, William Orpen, until he left to take up the position of official war artist in 1917. <br >Mainie was highly skilled at drawing, producing beautiful drawings from life as a student in the DMSA, and later under Walter Sickert in the Westminster School of Art in London. She also produced paintings of female nudes in an Impressionist style, which are far removed from her later severe linear style.",objectstory309,EOL
snapshot18,user2,set18,"In 1921 Mainie Jellett travelled to Paris and studied under the Cubist artist Andre Lhote. Here she began her experimentations with Cubism, while still retaining, in her paintings, an identifiable subject such as figures, or still lifes. Her paintings from this time show her beginning to simplify and reduce forms to the bare essentials, however, she hasn’t yet begun to flatten and fragment her forms – the women in these paintings are rounded and robustly feminine. After a year, in 1922, Mainie felt that she had learned all she could from Lhote and was eager to explore non-representational art with Albert Gleizes.",objectstory310,EOL
snapshot21,user6,set21,"An early example of a propensity to keep detailed records of everything. Here a seven year old Denis Mahon records an air raid on London in September 1917. As a child Sir Denis spent long periods with his nanny away from London because of the war. From 1915-1917, German airships or Zeppelins, rained tonnes of explosives and incendiaries on London.",objectstory172,EOL
snapshot22,user6,set22,"The account book of 1934 records payments to Dr Nikolaus Pevsner for tuition, as well as, payments for Mahon's burgeoning collection of art books. Pevsner, who is best known for his 46-volume series The Buildings of England (1951-74), had previously researched Milanese Seicento painting and it was he who suggested that Mahon should study the neglected Bolognese painter Giovanni Francesco Barbieri, otherwise known as Il Guercino. A note in the account book reads 'from now on largely concerned with materials for Guercino' this includes photographs, books, periodicals etc.' It is interesting to note that more was spent on books in that year than on the first painting purchased.",objectstory175,EOL
snapshot23,user6,set23,"Sir Denis hoped to exhibit his recently acquired Guercino painting at the annual winter exhibition at the Royal Academy in 1934. Kenneth Clark, wrote to Mahon explaining that he was unsure if they would be able to include a painting of such scale.",objectstory16,EOL
snapshot24,user6,set24,"There was little interest in or enthusiasm for the work of artists of the Italian baroque period at that time, but Sir Denis Mahon's keen eye saw the importance of these artworks. In a letter to Mahon, Kenneth Clark, Director of the National Gallery, London, congratulates him on obtaining the painting 'Jacob Blessing the Sons of Joseph' (1620) and comments that Guercino's work will, in his opinion, become more respected and valuable in time.",objectstory195,EOL
snapshot25,user6,set25,"The account book of 1934 records payments to Dr Nikolaus Pevsner for tuition, as well as, payments for Mahon's burgeoning collection of art books. Pevsner, who is best known for his 46-volume series The Buildings of England (1951-74), had previously researched Milanese Seicento painting and it was he who suggested that Mahon should study the neglected Bolognese painter Giovanni Francesco Barbieri, otherwise known as Il Guercino. A note in the account book reads 'from now on largely concerned with materials for Guercino' this includes photographs, books, periodicals etc.' It is interesting to note that more was spent on books in that year than on the first painting purchased.",objectstory175,EOL
snapshot26,user6,set26,"The art dealer J.G. Cloots wrote to Sir Denis Mahon to tell him that the German art historian, Dr. Herman Voss, an expert in the art of the baroque period, has identified this painting (Guercino's 'Jacob Blessing the Sons of Joseph') as the picture referred to in Carlo Cesare's Malvasia's 'Felsina Pittrice'.",objectstory176,EOL
snapshot27,user6,set27,Jacob blessing the sons of Joseph' by Guercino (1620) was the first old master painting Denis Mahon acquired. It was purchased for the sum of £120 in 1934.,objectstory23,EOL
snapshot28,user6,set28,"Discovered in a suitcase containing various lists, receipts, and accounts relating to effects contained in No.33 Cadogan Square and a safety deposit box in Harrods. The lists were assembled in case of possible war damage during World War II. The documentation provides valuable information concerning the early the development of Mahon's art collection. Regarded by him as his only vice, Mahon began collecting art in 1934. 'Jacob blessing the sons of Joseph' by Guercino (1620), now part of the NGI collection, was the first old master painting he acquired. It was purchased for the sum of £120.",objectstory63,EOL
snapshot29,user6,set29,"This is one of the finest and most beautiful of numerous small paintings of the Holy Family which Schedoni painted in the last years of his life when he was in the service of Ranuccio I Farnese in Parma.<br ><br >Schedoni trained in Rome with Federico Zuccaro but worked chiefly in Modena and Parma. He is best known for his small, refined devotional works. Correggio and Parmigianino were his chief influences, but he also admired the Carracci who worked in nearby Bologna. The close-knit composition, the golden light and the natural gestures of the figures create a powerful sense of human intimacy and show the influence of Correggio. According to an inscription on the reverse, the painting belonged to Schedoni's wife.",objectstory315,EOL
snapshot30,user6,set30,"This boldly executed painting is probably an oil-sketch made from the life as a study of physiognomy and expression. Although the man's gaze and the warm lighting suggest that Guercino had in mind a figure of a saint or a prophet, it is not connected with a final painting, nor is it a fragment of a finished work. The freedom of handling suggests a dating of c. 1619-20. A copy is in the Hermitage, St Petersburg.",objectstory317,EOL
snapshot31,user6,set31,"Notizie della vita, e delle opere del cavaliere Gioan Francesco Barbieri, detto Il Guercino da Cento, celebre pittore, (Bologna 1808) Giovanni Francesco Barbieri was known as Il Guercino, meaning the squinter. Following the death of Guido Reni he became the leading painter of the Bolognese school and one of the most accomplished draughtsmen of the Italian Baroque. Mahon was passionate about the work of Guercino and throughout his lifetime published extensively on the artist, organised a number of exhibitions and purchased many of his works. Mahon's re- appraisal of Guercino has ensured that he is now recognised as one of the leading artists of the baroque period. Guercino's account book, preserved in the Biblioteca Communale del l'Archiginnasio, Bologna, was first published in this volume by J. A. Calvi. The original records payments for his commissions from 1629 until his death.",objectstory129,EOL
snapshot32,user6,set32,"Notizie della vita, e delle opere del cavaliere Gioan Francesco Barbieri, detto Il Guercino da Cento, celebre pittore, (Bologna 1808) Giovanni Francesco Barbieri was known as Il Guercino, meaning the squinter. Following the death of Guido Reni he became the leading painter of the Bolognese school and one of the most accomplished draughtsmen of the Italian Baroque. Mahon was passionate about the work of Guercino and throughout his lifetime published extensively on the artist, organised a number of exhibitions and purchased many of his works. Mahon's re- appraisal of Guercino has ensured that he is now recognised as one of the leading artists of the baroque period. Guercino's account book, preserved in the Biblioteca Communale del l'Archiginnasio, Bologna, was first published in this volume by J. A. Calvi. The original records payments for his commissions from 1629 until his death.",objectstory129,EOL
snapshot33,user6,set33,"Francesco Bartolozzi (1725-1815) after Guercino (1591-1666) Etching, 1764 Bartolozzi, hailed as Italy's finest engraver of the time, was commissioned by Richard Dalton, Librarian to George III to copy the King's unrivalled collection of more than 800 drawings by Guercino. Mahon and Turner in the catalogue The drawings of Guercino in the collection of Her Majesty the Queen at Windsor Castle, have tentatively suggested two biblical subjects - Pharaoh's daughter and the infant Moses or Sarah expelling Hagar and Ishmael.",objectstory71,EOL
snapshot34,user6,set34,"Francesco Bartolozzi (1725-1815) after Guercino (1591-1666) Etching, 1764 Bartolozzi's copies of drawings by Guercino promoted the Royal Collection and were particularly popular among eighteenth-century English connoisseurs. The story depicted is from the second book of Samuel in the Old Testament. Amnon and Absalom were half brothers and the sons of King David. When Amnon raped their sister, Absalom sought revenge, ordering his men to kill Amnon while he was drunk. Bartolozzi apparently did not recognise their biblical subject and mistook the subject for a gamblers' quarrel.",objectstory72,EOL
snapshot35,user6,set35,"Francesco Bartolozzi (1725-1815) after Guercino (1591-1666) Etching, 1764 Bartolozzi's copies of drawings by Guercino promoted the Royal Collection and were particularly popular among eighteenth-century English connoisseurs. The story depicted is from the second book of Samuel in the Old Testament. Amnon and Absalom were half brothers and the sons of King David. When Amnon raped their sister, Absalom sought revenge, ordering his men to kill Amnon while he was drunk. Bartolozzi apparently did not recognise their biblical subject and mistook the subject for a gamblers' quarrel.",objectstory72,EOL
snapshot36,user6,set36,"Francesco Bartolozzi (1725-1815) after Guercino (1591-1666) Etching, 1764 Bartolozzi, hailed as Italy's finest engraver of the time, was commissioned by Richard Dalton, Librarian to George III to copy the King's unrivalled collection of more than 800 drawings by Guercino. Mahon and Turner in the catalogue The drawings of Guercino in the collection of Her Majesty the Queen at Windsor Castle, have tentatively suggested two biblical subjects - Pharaoh's daughter and the infant Moses or Sarah expelling Hagar and Ishmael.",objectstory71,EOL
