id,userid,title,description,objects,references,events,private,ca_sec_id,EOL
objectstory160,user2,The art writer Giovanni Pietro Bellori,"Giovanni Pietro Bellori, Le vite de pittori, scultori, ed architetti moderni, co'loro ritratti naturale, (Rome 1728) This is the second edition of Giovanni Pietro Bellori's (1613-1696) important collection of biographies. In addition to biographies on a number of artists, including the Carraccis, Rubens, Giovanni Lanfranco and Poussin, he writes about the concept of classical idealism in art in the preface entitled 'L'idea del pittore, dello scultore, e dell'architetto'. Bellori greatly admired the work of his friend, the French artist, Nicolas Poussin (1594-1665), whose classical paintings represented to him the perfect combination of art and nature. Mahon considered Poussin to be one of the greatest painters who ever lived. He wrote about the artist and famously fell out with Anthony Blunt in the 1960s over the chronology of the artist's work.",object141,,event118|event188|event204|event245|event246|event264|event265,1,4a688988-c6e5-11e2-8753-002590937d1c,EOL
objectstory162,user2,The first art treatise directed toward non-practitioners.,"Raffaello Borghini, Il riposo di Raffaello Borghini : in cvi della pittvra, e della scultura si fauella, de'piu illustri pittori, e scultori, et delle piu famose opere loro si fa mentione; e le cose principali appartenenti a dette arti s'insegnano, (Florence 1584) Raffaello Borghini's Il Riposo is the most widely known Florentine document on the subject of the Counter-Reformation content of religious paintings. Borghini's treatise puts forth simple criteria for judging the quality of a work of art. Picking up where Vasari left off, Borghini deals with artists who came after Michaelangelo and provides more comprehensive descriptions of artists that Vasari only touched upon, such as Tintoretto, Veronese, Barocci, and the artists of Francesco I's Studiolo in Florence. The first art treatise specifically directed toward non-practitioners, Il Riposo gives unique insight into the early stages of art history as a discipline, late Renaissance art and theory, and the Counter-Reformation in Italy.",object143,,event68,1,4abee2ec-c6e5-11e2-8753-002590937d1c,EOL
objectstory163,user2,The first travel book,"Richard Lassels, 'The voyage of Italy, or a complete journey through Italy. In two parts. With the characters of the people, and the description of the chief towns, churches, monasteries, tombs, libraries, palaces, villas, gardens, pictures, statues and antiquities', (Paris 1670) Travel books are important historical sources and were regularly employed by Mahon in his studies. The Voyage of Italy is the first book to refer the Grand Tour and it is widely regarded as the first travel book in the modern sense of the term. Written by the Roman Catholic priest, Richard Lassels (c.1603-1668), it was published posthumously. Lassels bequeathed this particular volume to Richard, Lord Lumley, Viscount of Waterford, who had accompanied the author on many of his travels.",object9,,event207|event239|event240,1,4b28be88-c6e5-11e2-8753-002590937d1c,EOL
objectstory166,user2,Saint Helena,"Saint Helena with two of her handmaidens by Guercino, Pen and brown ink, Frits Lugt, Paris (L.1028) Inv. No. 4017 This drawing was identified by Mahon as a study for the painting St. Helena discovering the True Cross that hangs in the church San Lazzaro dei Mendicanti, Venice.",object118,,event233,1,4b697b08-c6e5-11e2-8753-002590937d1c,EOL
objectstory17,user2,"Sir Denis Mahon and the National Gallery, London","Twice trustee of the National Gallery, London, Mahon crusaded tirelessly on its behalf. In a letter to Lord Silkin, he highlights the low level of funding available for purchasing pictures which was, he states, similar to the amount received in ‘Victorian times’.",object120,,event75|event227|event228,1,4bb2bffc-c6e5-11e2-8753-002590937d1c,EOL
objectstory171,user2,Mahon purchases Annibale Carracci's 'The Coronation of the Virgin'.,"Sir Denis Mahon and London art dealer Delius Giese corresponded regularly to discuss an acceptable price for Annibale Carracci's painting 'The Coronation of the Virgin'. Mahon successfully drives the price down and agrees to buy the work for £85. Annibale Carracci was one the most influential painters of the seventeenth century and a key figure in the development of classicism. Painted in 1603 for Cardinal Pietro Aldobrandini, this painting is now part of the collections of the Metropolitan Museum of Art, New York.",object108,,event182|event183,1,4becce7c-c6e5-11e2-8753-002590937d1c,EOL
objectstory172,user2,Sir Denis Mahon's early life,Sir Denis Mahon was born in No. 33 Cadogan Square on the 9th November 1910. A large number of family photographs from Sir Denis's childhood form part of the archive gifted to the National Gallery of Ireland.,object108,,event225,1,4c24ab44-c6e5-11e2-8753-002590937d1c,EOL
objectstory173,user2,Villa Aldobrandini,"Sir Denis Mahon's collection included an engraving showing the Villa Aldobrandini entitled 'Cascata d'aqua sopra il teatro della villa Aldobrandini di Belvedere a Frascati, con le due colonne che versano acqua nella sommita, con vari giuochi che bagnano quelli che salgono la scala per vedere' (1691) by Giovanni Battista Falda, (c.1640-1678). The Villa Aldobrandini in Frascati, located overlooking the valley extending to Rome, was completed in 1550. The layout of the gardens and water features culminated in this dramatic water theatre and nymphaeum. Carracci's 'Coronation of the Virgin' purchased by Mahon in 1939, was recorded as being in the collection at the Villa in Bellori's 'Vite' (1672).",object105,,event190|event188|event189|event181,1,4c78a5e6-c6e5-11e2-8753-002590937d1c,EOL
objectstory175,user2,Dr Nikolaus Pevsner tutored Sir Denis Mahon,"The account book of 1934 records payments to Dr Nikolaus Pevsner for tuition, as well as, payments for Mahon's burgeoning collection of art books. Pevsner, who is best known for his 46-volume series The Buildings of England (1951-74), had previously researched Milanese Seicento painting and it was he who suggested that Mahon should study the neglected Bolognese painter Giovanni Francesco Barbieri, otherwise known as Il Guercino. A note in the account book reads 'from now on largely concerned with materials for Guercino' this includes photographs, books, periodicals etc.' It is interesting to note that more was spent on books in that year than on the first painting purchased.",object99,,event210|event211|event212|event220|event221|event237|event238|event41|event52,1,4cf33c70-c6e5-11e2-8753-002590937d1c,EOL
objectstory176,user2,The identification of Guercino's painting 'Jacob Blessing the Sons of Joseph' (1620).,"The art dealer J.G. Cloots wrote to Sir Denis Mahon to tell him that the German art historian, Dr. Herman Voss, an expert in the art of the baroque period, has identified this painting (Guercino's 'Jacob Blessing the Sons of Joseph') as the picture referred to in Carlo Cesare's Malvasia's 'Felsina Pittrice'.",object102|object128,,event193|event194|event195|event197|event117,1,4d68b162-c6e5-11e2-8753-002590937d1c,EOL
objectstory177,user2,Conflict between Sir Denis Mahon and R.E.A. Wilson,"The art dealer R.E.A. Wilson was convinced that a drawing of putti was by Poussin. He wrote to Sir Denis Mahon explaining that Erwin Rosenthal, who had studied Poussin and was about to publish a catalogue of his drawings, agreed with the attribution of the drawing. However, Mahon believed it was a preparatory drawing completed by Guercino. It has since been accepted that it is a study of putti for one of Guercino's masterpieces, the fresco 'Aurora' (1641-1643) which adorns the ceiling of Villa Ludovisi, in Rome.",object115|object136,,event85|event86|event247|event248|event406|event84|event53,1,4ddcd290-c6e5-11e2-8753-002590937d1c,EOL
objectstory178,user2,Sir Denis Mahon purchases his first Guercino drawing,"The art dealer R.E.A. Wilson was paid £10 for, 'Study of Putti for Aurora' (1621), in November 1934.",object136|object114,,event85|event86|event247|event248|event406|event84|event53,1,4e28bf48-c6e5-11e2-8753-002590937d1c,EOL
objectstory18,user2,Orlandi's publication of international artists' biographies,"Pellegrino Antonio Orlandi’s most influential publication, 'L’ abecedario pittorico dall’autore ristampato corretto et accresciuto do molti professori e di altre notizie spettanti alla pittura' was first published in 1704. It was the first Italian collection of artists’ biographies to be organized alphabetically (grouping artists by first name, not surname). Unlike his predecessor, Carlo Cesare Malvasia, author of the Felsina pittrice (1678), Orlandi did not restrict himself to Bolognese artists, choosing instead to be international in scope and to include the artists of antiquity.",object10,,event65|event117,1,4e740a02-c6e5-11e2-8753-002590937d1c,EOL
objectstory19,user2,Giuseppe Ghezzi and the Accademia di S. Luca,"Ghezzi was a painter, illustrator and administrator. He was perhaps best known in the contemporary art world of Rome for his distinguished administrative talents: from 1678 to 1719 he held the influential post of Permanent Secretary to the Accademia di S. Luca. His compilation and publication of the academy’s reports, such as this one- Il Trionfo della fede solennizzato nel Campidoglio dall’Accademia del Disegno il dì 23. di maggio 1713…. Relazione di Giuseppe Ghezzi, Pittore e Segretario Accademico, (Rome 1713)- are of great significance. This copy, including a manuscript in Ghezzi’s hand, was sent to Pellegrino Antonio Orlandi, by Ghezzi. In this letter signed by Ghezzi and dated December 1716, he bemoans problems with his patronage which was coming to an end. The information provided by Ghezzi was used by Orlandi in the second edition of Abecedario pittorico, p.450.",object143,,event66|event67|event263|event264|event265,1,4ec56e74-c6e5-11e2-8753-002590937d1c,EOL
objectstory195,user2,The lack of interest in Italian Baroque art in early 20th century,"There was little interest in or enthusiasm for the work of artists of the Italian baroque period at that time, but Sir Denis Mahon's keen eye saw the importance of these artworks. In a letter to Mahon, Kenneth Clark, Director of the National Gallery, London, congratulates him on obtaining the painting 'Jacob Blessing the Sons of Joseph' (1620) and comments that Guercino's work will, in his opinion, become more respected and valuable in time.",object104,,event192,1,4efc6ffa-c6e5-11e2-8753-002590937d1c,EOL
objectstory20,user2,The function of 'Nova Iconologia',"This 1618 edition of 'Nova iconologia di Cesare Ripa perugino caualier de SS. Mauritio, & Lazzaro : Nella quale si descriuono diuerse imagini di virtù, vitij, affetti, passioni humane, arti, discipline, humori, elementi, corpi celesti, prouincie d’ Italia, fiumi, tutte le parti del mondo, ed’ altre infinite materie' (Padua 1618) contains over 300 woodcuts with descriptions that were used by artists and poets to make abstract concepts like the passions, virtues and vices (and even places) tangible in form. The book influenced late-Renaissance artists and is an essential guide to the imagery of the time.",object130,,event69|event70,1,4f3be540-c6e5-11e2-8753-002590937d1c,EOL
objectstory206,user2,"Denis Mahon's acceptance into Oxford, January 24th 1927","This note confirms that Denis Mahon had been included on the list of candidates for admission to the college in October 1929. Denis Mahon was educated at Eton and Christ Church, Oxford, where he read history. At Oxford he decided to focus his studies on the history of art and took tutorials from the art historian, Kenneth Clark. Clark in turn introduced him to the great scholar of art and architecture, German born, Dr Nikolaus Pevsner, who was then teaching at the Courtauld Institute.",object95,,,1,4f707dc8-c6e5-11e2-8753-002590937d1c,EOL
objectstory225,user2,Sir Denis Mahon's education at Eton,This portrait photograph was taken while Denis Mahon was studying at Eton.,object98,,event214,1,4fa95e86-c6e5-11e2-8753-002590937d1c,EOL
objectstory227,user2,Sir Denis Mahon's gift for sharing his knowledge about art,"This record kept by Lady Alice Mahon of a letter from Lady Rumbold, wife of the British Ambassador to Germany, records Sir Denis' amazing knowledge about art, his kind manner, and skill at imparting his knowledge. Lady Rumbold comments that they all delight at visiting museums and galleries with Sir Denis as he has so much interesting information to tell them about the pictures.",object96|object97,,event215|event216|event217,1,4ffbb4d8-c6e5-11e2-8753-002590937d1c,EOL
objectstory23,user2,Sir Denis Mahon purchases Guercino's 'Jacob Blessing the Sons of Joseph' (1620).,Jacob blessing the sons of Joseph' by Guercino (1620) was the first old master painting Denis Mahon acquired. It was purchased for the sum of £120 in 1934.,object137|object103 ,,event193|event194|event196|event199|event198|event197,1,505a5434-c6e5-11e2-8753-002590937d1c,EOL
objectstory233,user2,Museum Advocate,"Throughout his life Denis Mahon was a champion of the arts and campaigned and lobbied on numerous issues relating to museums and cultural heritage. Always concerned about the interests of the public, Sir Denis was a strong advocate of the role of museums and galleries and the principle of free admission. Twice trustee of the National Gallery, London, Mahon crusaded tirelessly on its behalf. In a letter to Lord Silkin, he highlights the low level of funding available for purchasing pictures which was, he states, similar to the amount received in'Victorian times'.",object120,,,1,509b0fc4-c6e5-11e2-8753-002590937d1c,EOL
objectstory24,user2,The epic poem 'Gerusalemme Liberata' by Torquato Tasso (1579),"Rinaldo preventing Armina from killing herself' by Guercino, Pen and brown ink, Frits Lugt, Paris (L.1028) Inv. No. 4017 The subject of this drawing is taken from Torquato Tasso's 'Gerusalemme Liberata' which first appeared in a pirated edition in 1579. The great epic poem primarily focuses on Rinaldo and his hopeless love for a Saracen woman warrior, Armina and it inspired painters, from Guercino to Delacroix for centuries afterwards.",object119,,event234|event76,1,50dedd30-c6e5-11e2-8753-002590937d1c,EOL
objectstory300,user2,Negative reaction to Jellett's painting 'Decoration' in 1923,"‘Decoration’ by Irish artist, Mainie Jellett, was painted in 1923. <br >To many visitors to the national Gallery of Ireland, this painting is a fairly unremarkable abstract painting; it doesn’t pack as much of a punch as the 'Taking of Christ' by Caravaggio, or 'The Opening of the Sixth Seal', by Francis Danby. However, when Mainie Jellett first exhibited 'Decoration' in the St Stephen’s Green gallery- run by the Society of Dublin Painters- in 1923, it provoked a strong emotional reaction from the Irish public; people hurled vitriolic comments and negativity at Mainie Jellett, and at modern art in general.<br ><br >",object300,,event500|event501,0,51350f52-c6e5-11e2-8753-002590937d1c,EOL
objectstory301,user2,Irish Times Reviewer’s Reaction to Jellett’s Decoration in 1923,"When 'Decoration' was first exhibited, one bamboozled reviewer for the Irish Times wrote:<br >“Miss Maimie [sic] Jellett is showing two paintings and two drawings. I fear that I did not in the least understand her two paintings. They are in squares, cubes, odd shapes and clashing colours. They may, to the man who understands the most up-to-date modern art mean something; but to me they presented an insoluble puzzle.”<br >A couple of days later, the Irish Times published a piece under the title 'Two Freak Pictures' consisting a photo of Mainie’s painting 'Decoration' alongside a photograph of a deformed onion that resembles a sitting bird. Readers were asked to provide a solution to this insoluble puzzle! This reaction from a supposedly objective news source really illustrates just how completely confused and shocked the Irish public were by Mainie’s abstraction. This is particularly interesting if you consider that Cubism was not a new and radical art movement in 1923.<br ><br >",object300,ref9,event501|event502,0,51926238-c6e5-11e2-8753-002590937d1c,EOL
objectstory302,user2,"Orpen, an academic Irish painter working in 1923","Sir William Orpen’s academically accomplished portrait of tenor Sir John McCormack was painted in 1923. Orpen, who taught for a time at the Dublin Metropolitan school of Art, was thoroughly academic painter who instilled in his students the importance of drawing from life, and who rejected modernist trends emerging in mainland Europe. ",object301,,event503|event504,0,51dfcf5a-c6e5-11e2-8753-002590937d1c,EOL
objectstory303,user2,Jack B. Yeats: Recording modern life in Ireland in 1923,"Jack B. Yeats painted his expressive visual document of the annual Dublin race- the Liffey Swim- in 1923. Yeats recorded modern Irish life -  the Irish people, countryside and sporting events – in a loose painterly manner, and went on to win a silver medal at the Olympics for this painting.",object302,,event505|event506,0,522c0ffa-c6e5-11e2-8753-002590937d1c,EOL
objectstory304,user2,The composition of Mainie Jellett's 'Decoration'.,"In one of her essays, Jellett wrote:<br > “ A picture to me is primarily the harmonious filling of space with rhythmic forms, the subject being of secondary importance.”<br >In this painting, she has filled the unusually shaped space of the board, that reminds me of a church window, with a series of overlapping forms – some jagged and angular, others more rounded radiating from a central heart or focus point.<br >While it is a resolutely flat, static painting, there is a suggestion of movement and rhythm in the relationship between the angles of the different shapes which encourages the eye to explore the work in a rhythmic circular movement.<br ><br >",object300,ref11|ref12,event513,0,526da780-c6e5-11e2-8753-002590937d1c,EOL
objectstory305,user2,Mainie Jellett's 'Decoration': An abstract painting,"Mainie Jellett's 'Decoration' is a completely abstract, non-figurative painting – Jellett is not concerned with presenting us with a narrative, but in experimenting with form and colour. She was aiming for an art that went beyond pure description towards something deeper and more spiritual.<br >In one of her essays she wrote:<br >“My aim was to search into the inner rhythms and constructions of natural forms, to create on their pattern; to make a work of art a natural creation complete in itself, based on the eternal laws of balanced harmony and ordered movement. I sought the inner principle and not the outward appearance.”<br >This idea of seeking the inner principle and not the outward appearance is reminiscent of a quote about modern art by the 19th century French Symbolist poet, Paul Valery. Valery wrote that modern artists wanted “the grin without the cat” – in other words that they wanted to capture the sensation of life without the boredom of its conveyance- without illusionism or narrative, aiming instead for something deeper, more invisible, and in Mainie’s case, more spiritual than mere imitation.<br ><br >",object300,,,0,52aa8556-c6e5-11e2-8753-002590937d1c,EOL
objectstory306,user2,The influence of religion in Mainie Jellett's work,"Even though 'Decoration' is an abstract painting, it does strongly recall a religious icon painting in terms of the shape of the panel – like a church window- the use of gold paint, and her choice of medium. <br >Mainie chose to paint 'Decoration' using tempera on wood panel. Tempera is a mixture of pigment and egg yolk which was the primary medium used in panel painting in medieval and early renaissance Europe until the 1500s. It was a very suitable medium for those stylised and flat medieval panel paintings, as when it dries it produces a smooth, matte, opaque finish. <br >However, tempera paintings rarely have the deep colour saturation of oil paintings and so the colours in 'Decoration' do not pop or attract attention; they are quite muted, faded, and matte looking.<br >In the 30s and 40s, Mainie’s paintings would become more overtly religious, with stylised and semi-abstracted representations of the crucifixion, pieta, and Madonna and child. At this early stage in her career, however, it was just hinted at through medium and shape.<br ><br >",object300,,event514|event515,0,52f0eb54-c6e5-11e2-8753-002590937d1c,EOL
objectstory307,user2,Mainie Jellett's 'Decoration': a Cubist artwork,"Mainie Jellett painted 'Decoration' in a Cubist style – layering geometric shapes on top of one another almost like a collage, flattening the pictorial space, and emphasising the two dimensionality of the painted surface. At this time, in the early 1920s, she was studying under the Cubist artist, Albert Gleizes, in Paris. She studied together with her friend, Evie Hone- another important Irish artist who went on to develop a successful career in stained glass. <br >The painting is resolutely flat, there is no illusion that the frame of the picture is a window into a 3-D space; the viewers’ eyes does not have the opportunity to journey into a receding background. Instead, the flat, mostly unmodulated, shapes are layered on top of one another emphasising that this is a 2-D painted surface – staying true to the materials.<br ><br >",object300,,event516|event517,0,5333c0d2-c6e5-11e2-8753-002590937d1c,EOL
objectstory308,user2,Albert Gleizes and Mainie Jellett,"This photograph from the 1940s depicts Mainie Jellett and Albert Gleizes. Mainie Jellett studied in Paris under Gleizes, with her friend Evie Hone, in the 1920s.<br >Gleizes had exhibited at the first Cubist group show which took place in a separate room – Room 41 - at the Salon des Independents in Paris in 1911. Although Pablo Picasso and Georges Braque would go on to become the driving forces behind Cubism, neither of these artists exhibited at this first exhibition. Neither were they involved in publishing the first major text on Cubism either – instead Albert Gleizes and fellow-artist, Jean Metzinger, published this in 1912. <br >Gleizes was an intellectual and theoretical painter who approached the canvas with a strict methodology – “the laws of painting” as he called it. In an essay dedicated to Mainie Jellett, he describes his attempts, to explain his approach to non-representational painting, to his two new Irish pupils:<br >“Mainie and Evie used to come to the studio early in the afternoon. I used to place large sheets of paper on a stretcher and, charcoal in hand, I struggled to clarify and to make them understand the practical elaboration of my first modest paintings without subject.”<br >“Before me I had two young students who were wanting me to show them the substantial, rational, explainable method of building up a picture without having recourse to representation. I had, therefore, to analyse step by step the course of my own act of painting, to follow myself and at the same time to record my movements theoretically.”<br >One of Gleizes primary concerns was the rejection of traditional linear perspective, and the illusionism that had pervaded painting since the Renaissance. In an essay, he spoke about his rejection of linear perspective:<br >“The unity of perspective, which classical art considered a step forward and an advance on what went before, was denounced and replaced by plurality of points of perspective. This plurality of points of perspective in many paintings of the 14th century had been severely criticised as a sign of ignorance, as childishness. Unity of perspective had become a dogma.”<br ><br >",object303,,event516|event517|event520|event521|event522|event523,0,5395d0f6-c6e5-11e2-8753-002590937d1c,EOL
objectstory309,user2,Mainie Jellett's early artistic style,"Mainie Jellett did not always paint in a Cubist style. In fact, like many other modern artists such as Cezanne and Picasso, her rejection of the conventions of painting was preceded by traditional academic training. <br >Jellett was born in Fitzwilliam Square, Dublin, and received early watercolour training in her home from Elizabeth (Lolly) Yeats- Jack B. and W.B. Yeats’ sister. She then enrolled in the Dublin Metropolitan School of Art where she briefly trained under the traditional artist, William Orpen, until he left to take up the position of official war artist in 1917. <br >Mainie was highly skilled at drawing, producing beautiful drawings from life as a student in the DMSA, and later under Walter Sickert in the Westminster School of Art in London. She also produced paintings of female nudes in an Impressionist style, which are far removed from her later severe linear style.<br ><br >",object304,,event524|event525|event526|event527|event528|event1,0,5400e490-c6e5-11e2-8753-002590937d1c,EOL
objectstory310,user2,Mainie Jellett and Andre Lhote,"In 1921 Mainie Jellett travelled to Paris and studied under the Cubist artist Andre Lhote. Here she began her experimentations with Cubism, while still retaining, in her paintings, an identifiable subject such as figures, or still lifes. Her paintings from this time show her beginning to simplify and reduce forms to the bare essentials, however, she hasn’t yet begun to flatten and fragment her forms – the women in these paintings are rounded and robustly feminine. After a year, in 1922, Mainie felt that she had learned all she could from Lhote and was eager to explore non-representational art with Albert Gleizes.",object305,,event529|event530,0,544afe7c-c6e5-11e2-8753-002590937d1c,EOL
objectstory311,user2,Louis le Brocquy's work rejected by the Royal Hibernian Academy,"This painting by Louis le Brocquy was rejected twice by the Royal Irish Academy, first in 1942, and again in 1943. Traditional academic realism was the predominant style of art in Ireland at the time. The rejection of this painting by one of the main academic art institutions in Ireland made it clear to young Irish artists that they needed an alternative outlet for their art. This painting is often credited for being the catalyst behind the foundation of the Irish Exhibition of Living Art in 1943.",object501,ref14,event1028|event1026|event1025|event1031,0,54abc8ce-c6e5-11e2-8753-002590937d1c,EOL
objectstory312,user2,The coining of the term Cubism,"The term 'Cubism' is derived from a reference made to ‘geometric schemas and cubes’ by the critic Louis Vauxcelles in describing paintings, including this one,  exhibited in Paris by Georges Braque in November 1908",object502,,event1032,0,54eef964-c6e5-11e2-8753-002590937d1c,EOL
objectstory313,user2,Gleizes' theory of Translation and Rotation,"By 1920 Gleizes had developed a style based on his first abstract pictures of 1915, characterized by dynamic intersections of vertical, diagonal, horizontal and circular movements, austere in touch but loaded with energetic pattern (see Painting Object, 1921). He sought to clarify his methods further in La Peinture et ses lois (Paris, 1923), in which he deduced the rules of painting from the picture plane, its proportions, the movement of the human eye and the laws of the universe. This theory, later referred to as translation-rotation, ranks with the writings of Mondrian and Malevich as one of the most thorough expositions of the principles of abstract art, which in his case entailed the rejection not only of representation but also of geometric forms. ",object503,,sourceevent1033|sourceevent1034,0,55235150-c6e5-11e2-8753-002590937d1c,EOL
objectstory42,user2,Denis Mahon witnessed air raids in London in 1917,"An early example of a propensity to keep detailed records of everything. Here a seven year old Denis Mahon records an air raid on London in September 1917. As a child Sir Denis spent long periods with his nanny away from London because of the war. From 1915-1917, German airships or Zeppelins, rained tonnes of explosives and incendiaries on London.",object94,,event222event1,1,55562a9e-c6e5-11e2-8753-002590937d1c,EOL
objectstory55,user2,The mystery surrounding the authorship of 'Bust of a Young Woman'.,"Bust of a young woman (?) slightly turned to left, wearing a ruff, attributed to Pietro Faccini, (1562-1602), Frits Lugt, Paris (L.1028) Inv. No. 5087 In a letter to Mahon, Frits Lugt refers to an attribution puzzle relating to this drawing in his collection, he asks ""could it be Guercino?"" The drawing has since been attributed to Pietro Faccini (1562-1602), a pupil of Annibale Carracci. Mahon later noted that Faccini's drawings were greatly admired and indeed imitated by Guercino in his youth.",object116,,event79|event80|event81|event82|event83,1,55c138c0-c6e5-11e2-8753-002590937d1c,EOL
